word 1,word 2,kor_score
사랑.n.01,섹스.n.01,6.42
호랑이.n.01,고양이.n.01,7.17
호랑이.n.01,호랑이.n.01,10
책.n.01,종이.n.01,6.17
컴퓨터.n.01,키보드.n.00,6.67
컴퓨터.n.01,인터넷.n.01,5.92
비행기.n.01,자동차.n.01,6
기차.n.01,자동차.n.01,6.75
전화기.n.01,의사소통.n.01,4.83
텔레비전.n.01,라디오.n.01,5.58
미디어.n.01,라디오.n.01,5.17
약물.n.03,남용.n.01,4.17
빵.n.01,버터.n.01,5.5
오이.n.01,감자.n.01,4.5
의사.n.12,간호사.n.01,6.92
교수.n.06,의사.n.12,4
학생.n.01,교수.n.06,5.33
영리한,학생.n.01,2.92
영리한,멍청한,5.17
회사.n.04,주식.n.03,4
주식.n.03,시장.n.04,5.08
주식.n.03,전화기.n.01,1.08
재고품.n.01,저장장치.n.00,2
재고품.n.01,재규어.n.01,0.83
주식.n.03,달걀.n.01,0.42
생식력.n.01,달걀.n.01,2.42
가축.n.02,생명.n.01,4.42
재고품.n.01,삶.n.01,0.75
책.n.01,도서관.n.01,6.25
은행.n.02,돈.n.01,6.67
나무.n.01,숲.n.01,7.58
돈.n.01,현금.n.04,8.33
교수.n.06,오이.n.01,0.42
왕.n.04,배추.n.01,0.67
왕.n.04,여왕.n.01,8.5
왕.n.04,장군.n.04,5.5
주교.n.01,목사.n.05,7
예루살렘.n.01,이스라엘.n.01,7.08
예루살렘.n.01,팔레스타인.n.01,5.33
성스러운,섹스.n.01,3.25
성관계,섹스.n.01,9.33
마라도나,미식축구.n.01,2.67
미식축구.n.01,축구.n.04,5.67
미식축구.n.01,농구.n.07,4.67
미식축구.n.01,테니스.n.01,4.33
테니스.n.01,라켓.n.01,6.42
안중근.n.01,평화.n.02,5
안중근.n.01,테러.n.01,3.42
안중근.n.01,싸이,1.83
법.n.01,변호사.n.01,6.92
영화.n.01,스타.n.01,6
영화.n.01,팝콘.n.01,6
영화.n.01,비평.n.01,5.83
영화.n.01,영화관.n.01,7.75
물리학.n.01,양성자.n.01,4.92
물리학.n.01,화학.n.01,5.5
우주.n.02,화학.n.01,3.58
알콜,화학.n.01,4.17
보드카.n.01,진.n.29,6.25
보드카.n.01,브랜디.n.01,6.67
음료.n.01,자동차.n.01,1.08
음료.n.01,귀.n.01,0.5
마시다,입.n.01,5.42
마시다,먹다,6.92
아기.n.01,엄마.n.01,6.25
마시다,엄마.n.01,1.42
자동차.n.01,차량.n.01,8.92
원석.n.02,보석.n.04,7.33
여행.n.02,여정.n.04,7
소년.n.01,사내.n.01,6.75
해안.n.02,해변.n.01,8.5
수용소.n.01,정신병원.n.01,4.83
마술사.n.01,마법사.n.01,7.17
한낮.n.01,정오.n.01,7.42
보일러.n.01,난로.n.01,7.58
음식.n.01,과일.n.01,5.08
새.n.03,수탉.n.01,4.5
새.n.03,두루미.n.02,6.08
도구.n.10,구현하다,3.92
형제.n.01,수도승.n.01,1.33
두루미.n.02,구현하다,0.58
사내.n.01,형제.n.01,4.83
여정.n.04,자동차.n.01,3.83
수도승.n.01,신탁.n.04,2.67
묘지.n.02,산림.n.01,2.75
음식.n.01,수탉.n.01,2.92
해안.n.02,언덕.n.01,3
숲.n.01,무덤.n.01,1.75
해변.n.01,산림.n.01,2.92
수도승.n.01,노예.n.01,1.33
해안.n.02,숲.n.01,2.75
사내.n.01,마법사.n.01,1.42
화음.n.01,미소.n.05,1.17
유리잔.n.01,마술사.n.01,1.42
정오.n.01,끈.n.01,0.42
수탉.n.01,여행.n.02,0.5
돈.n.01,달러.n.01,7.17
돈.n.01,현금.n.04,8.58
돈.n.01,화폐.n.01,8.5
돈.n.01,부.n.17,7.83
돈.n.01,재산.n.01,7.83
돈.n.01,소유물.n.01,5.67
돈.n.01,은행.n.02,6.08
돈.n.01,예금.n.01,6.33
돈.n.01,출금,5.75
돈.n.01,세탁.n.01,3.67
돈.n.01,조작.n.05,3.17
호랑이.n.01,재규어.n.01,5.58
호랑이.n.01,고양이과,5.92
호랑이.n.01,육식동물.n.01,6.5
호랑이.n.01,포유류.n.01,5.75
호랑이.n.01,짐승.n.01,6.17
호랑이.n.01,유기체.n.01,4.67
호랑이.n.01,동물.n.01,6.75
호랑이.n.01,동물원.n.01,4.67
심리학.n.01,정신과.n.01,6
심리학.n.01,불안.n.01,5.42
심리학.n.01,공포.n.08,4.92
심리학.n.01,우울.n.01,5.42
심리학.n.01,클리닉.n.01,5.42
심리학.n.01,의사.n.12,4.92
심리학.n.01,프로이드,6.58
심리학.n.01,마음.n.01,6.83
심리학.n.01,건강.n.03,5.92
심리학.n.01,과학.n.01,5.75
심리학.n.01,학문.n.02,6.92
심리학.n.01,인지.n.02,6.58
행성.n.02,별.n.01,7.67
행성.n.02,별자리.n.01,6.58
행성.n.02,보름달.n.01,4.33
행성.n.02,태양.n.02,5.08
행성.n.02,은하계.n.01,6.25
행성.n.02,우주.n.02,6.75
행성.n.02,우주인.n.01,4.58
전례.n.01,예시.n.05,7.17
전례.n.01,정보.n.06,4.08
전례.n.01,인지.n.08,2.5
선례.n.01,법.n.01,5.33
선례.n.01,수집품,2.25
선례.n.01,집단.n.01,1.83
선례.n.01,선행사건,7.17
컵.n.01,커피.n.01,4.83
컵.n.01,식기.n.01,7.08
컵.n.01,기사.n.20,0.58
컵.n.01,공예품.n.01,4.67
컵.n.01,물체.n.01,5.33
컵.n.01,개체.n.02,3.17
컵.n.01,음료.n.01,5.75
컵.n.01,음식.n.01,2.83
컵.n.01,물질.n.02,2.58
컵.n.01,액체.n.01,4.67
재규어.n.01,고양이.n.01,6
재규어.n.01,자동차.n.01,6.17
에너지.n.01,비서.n.05,0.92
비서.n.05,국회위원,3.42
에너지.n.01,연구실.n.01,3.83
컴퓨터.n.01,연구실.n.01,4.58
무기.n.05,비밀.n.01,2.58
국정원,지문.n.05,2.25
국정원,수사.n.18,5.58
수사.n.18,노력.n.01,4.5
화성.n.05,물.n.01,3.33
화성.n.05,과학자.n.01,5
뉴스.n.01,보도.n.04,7.92
협곡.n.01,지형.n.01,6.25
이미지.n.01,표면.n.01,3.08
발견.n.01,우주.n.02,3.92
물.n.01,누수.n.04,5.08
서명.n.03,휴정,1.83
수요일.n.01,뉴스.n.01,1.17
마일.n.02,킬로미터.n.01,7.83
컴퓨터.n.01,뉴스.n.01,2.92
영토.n.02,표면.n.01,2.5
대기권.n.01,지형.n.01,2.67
대통령.n.01,메달.n.02,1.42
전쟁.n.01,군대.n.03,7.25
기록.n.02,숫자.n.01,5.67
피부.n.02,눈.n.01,3.5
일본어.n.01,영어.n.02,6.5
영화관.n.01,역사.n.04,2.58
자원봉사자.n.00,좌우명,1.33
편견.n.01,인식.n.01,5.08
장식.n.05,용기.n.02,1.58
세기.n.03,연도.n.01,5.92
세기.n.03,민족.n.01,3
지연되다,인종주의.n.01,1.08
지연되다,뉴스.n.01,2.17
외교관.n.01,정당.n.07,2.67
평화.n.02,계획.n.01,1.92
소수자,평화.n.02,3.92
시도.n.07,평화.n.02,2.33
정부.n.08,위기.n.01,2.5
배치.n.03,출발.n.01,2
배치.n.03,후퇴.n.01,2.75
에너지.n.01,위기.n.01,3
발표.n.01,뉴스.n.01,5.67
발표.n.01,노력.n.01,1.92
뇌졸중.n.01,병원.n.02,6
장애.n.02,죽음.n.01,3.5
피해자.n.01,비상사태.n.01,4.67
치료.n.01,회복.n.01,7.83
저널.n.01,협회.n.01,3.67
의사.n.12,직원.n.03,2.92
의사.n.12,책임.n.01,5.08
책임.n.01,보험.n.01,5.67
학교.n.01,센터.n.00,3.17
이유.n.04,고혈압.n.01,1.33
이유.n.04,기준.n.01,3.83
백.n.05,퍼센트.n.01,5.17
연세대,고려대,6.83
병원.n.02,인프라.n.01,4.75
죽음.n.01,줄.n.01,0.92
죽음.n.01,수감자,2
변호사.n.01,증거.n.01,5.92
삶.n.01,죽음.n.01,8.17
삶.n.01,용어.n.02,1.33
단어.n.01,유사도,3.83
이사회.n.01,추천.n.03,3.75
도지사.n.01,인터뷰.n.01,3.08
석유수출기구,국가.n.01,3.92
평화.n.02,대기권.n.01,1.83
평화.n.02,보험.n.01,1.33
영토.n.03,킬로미터.n.01,3.17
여행.n.02,활동.n.02,3.92
경쟁.n.01,가격.n.03,4.67
소비자.n.01,확신.n.01,2.83
소비자.n.01,에너지.n.01,2
문제.n.06,공항.n.02,1.08
자동차.n.01,항공.n.01,3.25
신용.n.01,카드.n.01,6
신용.n.01,정보.n.06,5.75
호텔.n.01,예약.n.01,5.5
식료품.n.01,돈.n.01,3.5
등록.n.01,준비.n.01,4.5
준비.n.01,숙박.n.01,2.33
월.n.02,호텔.n.01,1.25
유형.n.07,종류.n.02,7.5
도착.n.01,호텔.n.01,2.42
침대.n.02,옷장.n.02,5.75
옷장.n.02,옷.n.01,7.67
상황.n.02,결론.n.02,4.42
상황.n.02,고립.n.01,2.08
중도.n.02,흥미.n.01,1.92
방향.n.01,조합.n.01,1.5
길거리.n.01,장소.n.05,5
길거리.n.01,대로.n.05,7.33
길거리.n.01,골목.n.01,7.17
길거리.n.01,아이들,3.17
목록.n.01,인접성,1.75
목록.n.01,범주.n.05,5
휴대.n.01,전화.n.07,5
생산.n.01,하이킹.n.01,0.92
